planet_name,host_star_name,star_number_per_system,discovery_method,year_of_discovery,discovery_facility,spectral_type,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_mass_earth_mass,planet_rad_jupiter_rad,planet_mass_jupiter_mass,orbital_eccentricity,planet_equil_temp_k,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,stellar_surf_grav,distance_parsec,stellar_mass_imputation_method,stellar_luminosity_solar_lum,planet_orbital_velocity
Kepler-1491 b,Kepler-1491,1.0,Transit,2016.0,Kepler,GV,16.58609545432857,0.1276,1.6898333333333333,3.5969884998983908,0.1507569933333333,,0.0,726.5,5714.2075,0.99,0.9955,4.309265714285714,2065.59,observed,0.9375280420889339,2.7936389615740973
Kepler-1491 c,Kepler-1491,1.0,Transit,2023.0,Kepler,GV,61.56941074,0.3057666666666667,2.2014999825,4.478839544837738,0.19640501,,0.0,476.0,5712.066000000001,1.389,0.991,4.2679860000000005,2065.59,observed,1.8427533476357316,1.8005979104845675
Kepler-1492 b,Kepler-1492,1.0,Transit,2016.0,Kepler,KV,16.7525135157375,0.1262,1.49,1.679353597437351,0.1329289,,0.0,801.0,4701.555555555556,0.6776974,0.77,4.26373875,331.553,observed,0.2013389400881841,2.4705330556640037
Kepler-1493 b,Kepler-1493,1.0,Transit,2016.0,Kepler,GV,15.02185102,0.109875,1.41,1.56309310172325,0.12579177,,0.0,726.25,5719.617142857144,1.29,1.06,4.3744,555.051,observed,1.597854047847337,3.1065508911744297
Kepler-1494 b,Kepler-1494,1.0,Transit,2016.0,Kepler,GV,91.07995604512502,0.3982,3.3435,9.907920708034792,0.2982874283333334,,0.0,415.0,5802.0,0.9944,1.00575,4.402231250000001,1285.48,observed,1.0053631877247897,1.589532370857004
Kepler-1495 b,Kepler-1495,1.0,Transit,2016.0,Kepler,GV,85.27314245142858,0.3677,3.164,8.921734646840973,0.282273572,,0.0,443.0,5903.8,1.0536,0.9348,4.3632,1355.5399999999995,observed,1.2099513839651088,1.594731309693817
Kepler-1496 b,Kepler-1496,1.0,Transit,2016.0,Kepler,GV,64.65879287955,0.3244,1.9633333333333327,5.186871128404689,0.17515706,,0.0,499.0,5990.564444444444,1.3648783333333334,1.084,4.2915325,1307.66,observed,2.1525274938639694,1.8283073379371413
Kepler-1497 b,Kepler-1497,1.0,Transit,2016.0,Kepler,GV,8.741970085914286,0.082825,1.7339999999999995,3.830714514847695,0.154697334,,0.0,904.5,5781.0,0.986,0.99225,4.4188,,observed,0.9742166717011677,3.461822653136753
Kepler-1498 b,Kepler-1498,1.0,Transit,2016.0,Kepler,GV,48.05154730565,0.2455999999999999,1.33,1.4487956497189585,0.11865465,,0.0,480.0,5333.0,0.8692500000000001,0.836,4.403999999999999,,observed,0.5483597672342759,1.8452870820240344
Kepler-1499 b,Kepler-1499,1.0,Transit,2016.0,Kepler,KV,44.2015606497,0.22213,1.1878571428571427,1.25081614301015,0.1059736457142857,,0.0,409.0,5000.117,0.7803333333333334,0.8140000000000001,4.5467775,309.869,observed,0.34148437335774934,1.9146243508640364
Kepler-15 b,Kepler-15,1.0,Transit,2011.0,Kepler,GV,4.942783011953845,0.0574233333333333,11.684821909090909,210.71869,1.042456130909091,0.6629999999999999,0.06,1063.3333333333333,5577.199285714286,1.1094285714285714,1.018375,4.364023636363637,739.4120000000001,observed,1.0684475183000328,4.211963986053751
Kepler-150 b,Kepler-150,1.0,Transit,2014.0,Kepler,GV,3.4280567412700003,0.0438371428571428,1.2746666666666666,1.3709310649701492,0.1137718833333333,,0.0,1178.0,5671.0,0.92083475,0.961875,4.486715555555556,891.0920000000001,observed,0.7868498010519952,4.685038695310813
Kepler-150 c,Kepler-150,1.0,Transit,2014.0,Kepler,GV,7.381980616209091,0.0729614285714285,3.579111111111112,11.27646156186475,0.3192850811111111,,0.0,913.4,5659.083333333333,0.919113,0.9627777777777776,4.489165999999999,891.0920000000001,observed,0.777341805178301,3.633217090135637
Kepler-150 d,Kepler-150,1.0,Transit,2014.0,Kepler,GV,12.56094292190909,0.1041171428571428,2.7953333333333337,7.050563792209507,0.2493935444444444,,0.0,764.4,5659.083333333333,0.919113,0.9627777777777776,4.489166,891.0920000000001,observed,0.777341805178301,3.0414234621657226
Kepler-150 e,Kepler-150,1.0,Transit,2014.0,Kepler,GV,30.82637326713636,0.1894328571428571,2.936333333333333,7.741590141764171,0.2619237722222223,,0.0,566.4,5659.083333333333,0.919113,0.9627777777777776,4.489165999999999,891.0920000000001,observed,0.777341805178301,2.2548121065998514
Kepler-150 f,Kepler-150,1.0,Transit,2017.0,Kepler,GV,637.2093,1.24,3.64,11.643743476761728,0.32473905,,,191.53086167248844,5528.0,0.905339,0.97,4.51122,891.092,observed,0.686727510760951,0.8846062603295559
Kepler-1500 b,Kepler-1500,1.0,Transit,2016.0,Kepler,GV,15.0329888073,0.1152,1.2,1.2674639621271098,0.10705683,,0.0,802.0,5935.875,1.0,1.0533333333333337,4.329657142857143,1217.82,observed,1.1138554579480768,3.0243472764536152
Kepler-1501 b,Kepler-1501,1.0,Transit,2016.0,Kepler,FV,14.556503951400002,0.122144,1.56,2.9595386771570484,0.13917388,,0.0,853.75,6225.222222222223,1.1598625,1.1929999999999998,4.388811428571429,749.06,observed,1.8126848328523264,3.1257852441858787
Kepler-1502 b,Kepler-1502,1.0,Transit,2016.0,Kepler,FV,41.7085521798375,0.2482,3.18,9.00765051896825,0.2837006,,0.0,611.75,6567.333333333333,1.728238,1.3242857142857145,4.25468375,1514.02,observed,4.98486257656082,2.3102817235918645
Kepler-1503 b,Kepler-1503,1.0,Transit,2016.0,Kepler,KV,96.1692833380875,0.37575,2.3091666666666666,4.9041645252470625,0.2060102699999999,,0.0,323.25,5123.950000000001,0.7703333333333333,0.7682500000000001,4.438445,1225.57,observed,0.36700059158279763,1.4301341387353426
Kepler-1504 b,Kepler-1504,1.0,Transit,2016.0,Kepler,GV,82.30485353965,0.35975,2.13,4.206503421828465,0.19002587,,0.0,414.5,5597.314444444444,0.81,0.9177142857142856,4.23690875,2435.94,observed,0.5778015583456255,1.5974538810445431
Kepler-1505 b,Kepler-1505,1.0,Transit,2016.0,Kepler,GV,30.860927776099995,0.1883159999999999,0.93,0.9099715891387324,0.08296904,,0.0,600.0,5717.487,0.86,0.9732857142857144,4.36255375,495.148,observed,0.7091000168706052,2.273796261237505
Kepler-1506 b,Kepler-1506,1.0,Transit,2016.0,Kepler,GV,14.032785373214285,0.1168,1.32,1.4346504885762243,0.11776251,,0.0,783.0,5906.5,0.9868,1.038,4.329502857142857,2366.02,observed,1.0633321984032482,2.981619632344763
Kepler-1507 b,Kepler-1507,1.0,Transit,2016.0,Kepler,GV,16.05057296141111,0.117872,0.8288571428571428,0.7834721978572073,0.0739457714285714,,0.0,663.0,5374.4490000000005,0.8204345714285715,0.9056,4.51408125,320.478,observed,0.503864242381192,2.7722849330603383
Kepler-1508 b,Kepler-1508,1.0,Transit,2016.0,Kepler,GV,20.70567203333333,0.144225,1.33,1.4487956497189585,0.11865465,,0.0,733.0,5823.285714285715,1.2509866666666667,1.14,4.233231666666666,1260.28,observed,1.6146098863299678,2.8119470327377964
Kepler-1509 b,Kepler-1509,1.0,Transit,2016.0,Kepler,GV,25.433572158475,0.17265,2.040666666666666,3.8776350652010487,0.182056285,,0.0,656.5,5902.333333333333,1.0457999999999998,1.0505714285714287,4.29254125,2002.96,observed,1.1909185369787454,2.4672007329887276
Kepler-151 b,Kepler-151,1.0,Transit,2014.0,Kepler,GV,15.22896037952,0.1149833333333333,2.981,7.966870437907579,0.265947925,,0.0,641.2,5405.388181818183,0.8184285714285714,0.874,4.562811999999999,649.919,observed,0.5130491418632309,2.757485599036532
Kepler-151 c,Kepler-151,1.0,Transit,2014.0,Kepler,GV,24.67462204505,0.1587833333333333,2.1675,4.348328056448281,0.19331444,,0.0,545.4,5405.388181818181,0.8184285714285713,0.874,4.562812,649.919,observed,0.51304914186323,2.346541518935482
Kepler-1510 b,Kepler-1510,1.0,Transit,2016.0,Kepler,FV,84.70430754065,0.393825,3.328333333333333,9.822701521743266,0.2969343466666666,,0.0,489.0,6156.555555555556,1.372298,1.120142857142857,4.263246250000001,1696.25,observed,2.4273808534461647,1.686786241835113
Kepler-1511 b,Kepler-1511,1.0,Transit,2016.0,Kepler,FV,23.2383485036,0.1753,1.68,3.5461299571857388,0.14987956,,0.0,903.0,6571.614444444444,1.29,1.3415,4.09054875,1475.6,observed,2.7845663630973565,2.7668101769183266
Kepler-1512 b,Kepler-1512,1.0,Transit,2016.0,Kepler,KV,20.359741594090004,0.1228883333333333,1.234714285714286,1.3153351162654956,0.1101539757142857,,0.0,404.0,4334.082,0.7123891428571428,0.7045,4.698,,observed,0.16066191132419852,2.3947498549108337
Kepler-1513 b,Kepler-1513,1.0,Transit,2016.0,Kepler,G V,160.8845588097,0.547222,8.67025,48.30991786,0.77350891375,0.152,0.306,346.0,5543.154545454545,0.9388014,0.9489999999999998,4.402606666666667,349.247,observed,0.7465609253320288,1.3171229456466833
Kepler-1513 c,Kepler-1513,1.0,Transit Timing Variations,2023.0,Multiple Observatories,G V,841.4,1.7104567068783276,8.356898789985532,84.54235626,,0.266,0.125,165.93315061070527,5491.0,0.95,0.943,4.46,349.247,observed,0.7361101995849927,0.7426339291365909
Kepler-1514 b,Kepler-1514,1.0,Transit,2016.0,Kepler,FV,217.8320055655,0.7418616666666668,12.419572,1678.1424,1.108,5.28,0.401,444.38,6248.521818181819,1.28986375,1.1931428571428573,4.115287777777777,397.292,observed,2.2755515983867314,1.2684102455237831
Kepler-1514 c,Kepler-1514,1.0,Transit,2020.0,Kepler,FV,10.514189701111112,0.0983299999999999,1.1758241,1.2343691656038847,0.1049,,0.32,1220.2,6254.304444444445,1.3043183333333332,1.1864,4.08594875,397.292,observed,2.3354636851802737,3.4741417427590733
Kepler-1515 b,Kepler-1515,1.0,Transit,2016.0,Kepler,FV,214.31161004333336,0.7508700000000001,9.676428571428572,391.2286942812893,0.8632741785714285,,0.0,387.5,6455.4580000000005,1.505475,1.2946666666666666,4.226932499999999,539.321,observed,3.5313859560340983,1.3133231229942937
Kepler-1516 b,Kepler-1516,1.0,Transit,2016.0,Kepler,GV,7.259310818724999,0.0718,1.809,4.247663485531135,0.161388335,,0.0,967.0,5859.0,1.0036,0.98525,4.26030125,1358.95,observed,1.0648909771996178,3.7049809869433803
Kepler-1517 b,Kepler-1517,1.0,Transit,2016.0,Kepler,FIV,5.546083704675,0.078,9.76,400.1778259197693,0.87072888,,0.0,2335.25,7187.064444444444,1.900222,1.58,3.80279875,847.299,observed,8.643799609312017,4.501489340886235
Kepler-1518 b,Kepler-1518,1.0,Transit,2016.0,Kepler,FIV,5.111769303999999,0.0593,2.7298,6.73982431281069,0.243536668,,0.0,1351.0,6570.996666666666,1.88,1.54,4.184112000000001,903.51,observed,5.911947054766582,5.096922120164537
Kepler-1518 c,Kepler-1518,1.0,Transit,2023.0,Kepler,FV,9.6309775094,0.0904999999999999,2.9862499975,7.993550234001998,0.2664158375,,0.0,1094.0,6516.996,1.345,1.06,4.209512,903.51,observed,2.9276842501314575,3.42297421000787
Kepler-1519 b,Kepler-1519,1.0,Transit,2016.0,Kepler,GV,240.79875797825,0.75455,7.06,102.72286922800876,0.62985101,,0.0,297.75,5753.111111111111,0.91,0.9794285714285714,4.3081025,1441.63,observed,0.8139236756278724,1.1395079427648702
Kepler-152 b,Kepler-152,1.0,Transit,2014.0,Kepler,KV,18.207965803754547,0.1264671428571428,3.043222222222222,8.28579084725776,0.2715087344444444,,0.0,561.6,5151.25,0.7564826000000001,0.8384444444444443,4.602627,441.09,observed,0.3615249264767764,2.5752730092477862
Kepler-152 c,Kepler-152,1.0,Transit,2014.0,Kepler,KV,88.25530237316363,0.36254,2.670333333333333,6.463599018549579,0.2382068466666666,,0.0,331.8,5151.25,0.7564826,0.8384444444444443,4.602627,441.09,observed,0.3615249264767763,1.5210173376655671
Kepler-1520 b,Kepler-1520,1.0,Transit,2016.0,Kepler,KV,0.6535535854285713,0.0129,5.77,96.97702843091876,0.51476492,,0.0,1436.25,4571.125,0.6749999999999999,0.694857142857143,4.6034942857142855,607.917,observed,0.17848009381270968,7.340538012212529
Kepler-1521 b,Kepler-1521,1.0,Transit,2016.0,Kepler,KV,47.148427685677774,0.2480319999999999,2.5,5.702772103471755,0.22303506,,0.0,559.75,5025.339,0.7107184285714286,0.8116,4.3482875,206.983,observed,0.28903235290032353,1.8092231892077024
Kepler-1522 b,Kepler-1522,1.0,Transit,2016.0,Kepler,GV,1.8478898473125,0.0288749999999999,1.6556666666666668,3.4221093973579007,0.1477088466666667,,0.0,1380.75,5730.1577777777775,0.9228,0.94725,4.45846375,814.125,observed,0.8237043182083857,5.728570925983264
Kepler-1523 b,Kepler-1523,1.0,Transit,2016.0,Kepler,GV,0.938750077475,0.018774,1.5408571428571427,2.8717074660628463,0.1374662371428571,,0.0,1766.0,5640.211111111112,0.9313333333333332,0.9726666666666668,4.484102857142857,865.596,observed,0.7875562514562048,7.199106421861289
Kepler-1524 b,Kepler-1524,1.0,Transit,2016.0,Kepler,GV,70.96733655452857,0.3257,3.54,11.043486327994353,0.31581765,,0.0,454.5,5889.5775,1.25,1.071,4.407182857142857,381.773,observed,1.6867333810309415,1.8136807357730846
Kepler-1525 b,Kepler-1525,1.0,Transit,2016.0,Kepler,GV,2.4166009027000004,0.0355539999999999,0.8857142857142858,0.8540469465995097,0.0790182314285714,,0.0,1317.5,5695.735555555556,1.026,1.0272,4.455954285714285,382.989,observed,0.9939941795566147,5.375987562595315
